source,target,length,name,highway,oneway
1155,1151,27.63,Angelo Street,residential,0
1155,1158,53.73,Angelo Street,residential,0
1156,1154,226.72,General Tinio Street,residential,0
1156,1153,50.89,Andres Bonifacio Avenue,primary,1
1157,1159,227.08,Abao Street,residential,0
1157,1158,90.18,Abao Street,residential,0
1157,1154,52.8,CDC Road,tertiary,0
1157,1161,52.53,CDC Road,tertiary,0
1158,1157,90.18,Abao Street,residential,0
1158,1155,53.73,Angelo Street,residential,0
1158,1211,60.84,Angelo Street,residential,0
1159,1157,227.08,Abao Street,residential,0
1159,1156,48.43,Andres Bonifacio Avenue,primary,1
1160,1508,137.43,Bulusan Street,residential,0
1160,1211,81.87,Bulusan Street,residential,0
1160,1507,49.96,N. S. Amoranto Sr. Avenue,tertiary,0
1160,1163,50.65,N. S. Amoranto Sr. Avenue,tertiary,0
1161,1211,61.23,Bulusan Street,residential,0
1161,1162,226.24,Bulusan Street,residential,0
1161,1157,52.53,CDC Road,tertiary,0
1161,1164,42.76,CDC Road,tertiary,0
1162,1161,226.24,Bulusan Street,residential,0
1162,1159,52.5,Andres Bonifacio Avenue,primary,1
1163,1164,118.45,Labo Street,residential,0
1163,1525,137.94,Labo Street,residential,0
1163,1160,50.65,N. S. Amoranto Sr. Avenue,tertiary,0
1163,1166,46.98,N. S. Amoranto Sr. Avenue,tertiary,0
1164,1163,118.45,Labo Street,residential,0
1164,1161,42.76,CDC Road,tertiary,0
1164,1167,43.94,CDC Road,tertiary,0
1164,1165,225.86,Labo Street,residential,0
1165,1162,45.0,Andres Bonifacio Avenue,primary,1
1165,1164,225.86,Labo Street,residential,0
1166,1524,140.09,Isarog Street,residential,0
1166,1167,94.16,Isarog Street,residential,0
1166,1163,46.98,N. S. Amoranto Sr. Avenue,tertiary,0
1166,1169,50.33,N. S. Amoranto Sr. Avenue,tertiary,0
1167,1166,94.16,Isarog Street,residential,0
1167,1168,226.37,Isarog Street,residential,0
1167,1164,43.94,CDC Road,tertiary,0
1167,1170,43.64,CDC Road,tertiary,0
1168,1167,226.37,Isarog Street,residential,0
1168,1165,44.07,Andres Bonifacio Avenue,primary,1
1169,1379,138.22,Iriga Street,residential,0
1169,1170,71.1,Iriga Street,residential,0
1169,1166,50.33,N. S. Amoranto Sr. Avenue,tertiary,0
1169,1172,48.51,N. S. Amoranto Sr. Avenue,tertiary,0
1170,1169,71.1,Iriga Street,residential,0
1170,1171,226.94,Iriga Street,residential,0
1170,1167,43.64,CDC Road,tertiary,0
1170,1173,42.49,CDC Road,tertiary,0
1171,1170,226.94,Iriga Street,residential,0
1171,1168,43.48,Andres Bonifacio Avenue,primary,1
1172,1173,47.62,Doctor Alejos Street,residential,0
1172,1372,139.32,Doctor Alejos Street,residential,0
1172,1169,48.51,N. S. Amoranto Sr. Avenue,tertiary,0
1172,1356,50.69,N. S. Amoranto Sr. Avenue,tertiary,0
1173,1174,226.94,Doctor Alejos Street,residential,0
1173,1172,47.62,Doctor Alejos Street,residential,0
1173,1170,42.49,CDC Road,tertiary,0
1173,1175,44.67,CDC Road,tertiary,0
1174,1173,226.94,Doctor Alejos Street,residential,0
1174,1171,41.1,Andres Bonifacio Avenue,primary,1
1175,1173,44.67,CDC Road,tertiary,0
1175,11360,34.75,CDC Road,tertiary,0
1175,1176,226.96,Iba Street,residential,0
1176,1174,47.29,Andres Bonifacio Avenue,primary,1
1176,1175,226.96,Iba Street,residential,0
1177,1350,226.89,Mariveles Street,residential,0
1177,1176,43.0,Andres Bonifacio Avenue,primary,1
1178,1179,81.54,Malaya Street,residential,0
1178,1183,137.01,Angelo Street,residential,0
1178,1147,60.63,Angelo Street,residential,0
1178,1383,76.37,Malaya Street,residential,0
1179,1180,226.56,Malaya Street,residential,0
1179,1178,81.54,Malaya Street,residential,0
1179,1181,50.24,CDC Road,tertiary,0
1179,1104,51.64,CDC Road,tertiary,0
1180,1179,226.56,Malaya Street,residential,0
1180,1182,52.77,Andres Bonifacio Avenue,primary,1
1181,1182,225.88,Mayo Street,residential,0
1181,11404,56.21,CDC Road,tertiary,0
1181,1179,50.24,CDC Road,tertiary,0
1182,1181,225.88,Mayo Street,residential,0
1182,1184,50.7,Andres Bonifacio Avenue,primary,1
1183,1178,137.01,Angelo Street,residential,0
1183,11404,7.14,CDC Road,tertiary,0
1183,1186,55.58,Angelo Street,tertiary,0
1184,11404,226.27,Wakat Street,residential,0
1184,1185,53.62,Andres Bonifacio Avenue,primary,1
1185,1186,199.08,Scout Oscar Magan Alcaraz Street,tertiary,0
1185,1188,55.07,Andres Bonifacio Avenue,primary,1
1186,1119,75.09,Scout Oscar Magan Alcaraz Street,tertiary,0
1186,1187,66.29,Angelo Street,residential,0
1186,1183,55.58,Angelo Street,tertiary,0
1186,1185,199.08,Scout Oscar Magan Alcaraz Street,tertiary,0
1187,1190,65.11,Angelo Street,residential,0
1187,1186,66.29,Angelo Street,residential,0
1187,1188,161.27,Magnas Street,residential,0
1188,1189,52.97,Andres Bonifacio Avenue,primary,1
1188,1187,161.27,Magnas Street,residential,0
1189,1190,124.03,Binuang Street,residential,0
1189,1191,53.93,Andres Bonifacio Avenue,primary,1
1190,1192,63.45,Angelo Street,residential,0
1190,1187,65.11,Angelo Street,residential,0
1190,1189,124.03,Binuang Street,residential,0
1191,1192,88.99,Santa Catalina Street,residential,0
1191,1635,133.07,Andres Bonifacio Avenue,primary,1
1192,1191,88.99,Santa Catalina Street,residential,0
1192,1392,76.12,Santa Catalina Street,residential,0
1192,1212,152.23,Angelo Street,residential,0
1192,1190,63.45,Angelo Street,residential,0
1193,1515,32.54,Don Manuel Agregado Avenue,residential,0
1193,1110,162.46,Mayon Street,secondary,0
1193,1467,74.07,Don Manuel Agregado Avenue,residential,0
1193,1105,148.41,Mayon Street,secondary,0
1194,1357,51.07,Don Manuel Agregado Avenue,residential,0
1194,1382,39.17,Mariveles Street,residential,0
1194,1349,152.88,Mariveles Street,residential,0
1195,1206,73.02,Banawe Street,secondary,0
1195,1207,80.38,Banawe Street,secondary,0
1195,1404,241.06,Don Manuel Agregado Avenue,residential,0
1195,1451,283.32,Don Manuel Agregado Avenue,residential,0
1196,1199,78.63,Don Jose Street,residential,0
1196,11034,88.83,Don Jose Street,residential,0
1196,1204,162.38,Don Manuel Agregado Avenue,residential,0
1197,1405,78.86,Cordillera Street,residential,0
1197,1404,82.19,Cordillera Street,residential,0
1197,1207,241.63,Samat Street,residential,0
1198,1439,78.4,Biak na Bato Street,residential,0
1198,1451,83.3,Biak na Bato Street,residential,0
1198,1207,284.1,Samat Street,residential,0
1199,1203,190.55,Macopa Street,residential,0
1199,1201,79.3,Don Jose Street,residential,0
1199,1196,78.63,Don Jose Street,residential,0
1200,294,101.43,Calamba Street,tertiary,0
1200,1441,82.23,Don Pepe Street,residential,0
1200,1112,108.74,Calamba Street,tertiary,0
1200,11034,81.58,Don Jose Street,residential,0
1201,293,101.2,N. S. Amoranto Sr. Avenue,tertiary,0
1201,1199,79.3,Don Jose Street,residential,0
1201,1452,136.26,N. S. Amoranto Sr. Avenue,tertiary,0
1201,1454,67.07,Don Jose Street,residential,0
1202,1406,80.94,N. S. Amoranto Sr. Avenue,tertiary,0
1202,1452,77.66,N. S. Amoranto Sr. Avenue,tertiary,0
1202,1203,73.84,Santo Domingo Avenue,secondary,0
1202,1391,134.93,Santo Domingo Avenue,secondary,0
1203,1199,190.55,Macopa Street,residential,0
1203,1202,73.84,Santo Domingo Avenue,secondary,0
1203,1204,69.61,Santo Domingo Avenue,secondary,0
1203,1450,227.19,Macopa Street,residential,0
1204,13520,53.05,Santo Domingo Avenue,secondary,0
1204,1203,69.61,Santo Domingo Avenue,secondary,0
1204,1196,162.38,Don Manuel Agregado Avenue,residential,0
1204,1451,226.94,Don Manuel Agregado Avenue,residential,1
1205,3212,99.12,Maria Clara Street,secondary,0
1205,1438,230.77,Maria Clara Street,secondary,0
1205,1448,85.45,Santo Domingo Avenue,secondary,0
1205,1491,55.4,Santo Domingo Avenue,secondary,0
1206,1195,73.02,Banawe Street,secondary,0
1206,1107,73.5,Banawe Street,secondary,0
1206,13510,187.23,Macopa Street,residential,0
1206,1450,283.48,Macopa Street,residential,0
1207,1111,79.51,Banawe Street,secondary,0
1207,1195,80.38,Banawe Street,secondary,0
1207,1198,284.1,Samat Street,residential,0
1207,1197,241.63,Samat Street,residential,0
1208,3177,84.37,Banawe Street,secondary,0
1208,1446,84.29,Banawe Street,secondary,0
1208,9946,248.91,Maria Clara Street,secondary,0
1208,3179,242.7,Maria Clara Street,secondary,0
1209,1404,97.36,Don Manuel Agregado Avenue,residential,0
1209,1460,97.12,Don Manuel Agregado Avenue,residential,0
1209,1210,160.85,D. Tuazon Street,tertiary,0
1209,2462,149.0,D. Tuazon Street,tertiary,0
1210,1405,96.58,Calamba Street,tertiary,0
1210,1484,97.2,Calamba Street,tertiary,0
1210,1209,160.85,D. Tuazon Street,tertiary,0
1210,1115,167.39,D. Tuazon Street,tertiary,0
1211,1158,60.84,Angelo Street,residential,0
1211,1160,81.87,Bulusan Street,residential,0
1211,1161,61.23,Bulusan Street,residential,0
1212,1192,152.23,Angelo Street,residential,0
1212,1636,34.74,Apo Street,residential,0
1212,1635,37.48,Apo Street,residential,0
1213,1457,220.16,Speaker Perez Street,residential,0
1213,8419,75.36,Del Monte Avenue,secondary,0
1213,1582,94.47,Del Monte Avenue,secondary,0
1214,11409,9.28,Del Monte Avenue,secondary,0
1214,2019,359.79,Gregorio Araneta Avenue,primary,1
1214,12363,25.18,Del Monte Avenue,secondary,0
1215,11409,12.76,Del Monte Avenue,secondary,0
1215,293,440.76,Gregorio Araneta Avenue,primary,1
1215,1615,142.77,Del Monte Avenue,secondary,0
1216,1403,86.55,Banawe Street,secondary,0
1216,1574,77.75,Banawe Street,secondary,0
1216,1592,285.71,Del Monte Avenue,secondary,0
1216,1614,268.65,Del Monte Avenue,secondary,0
1217,9113,40.55,Del Monte Avenue,secondary,1
1217,8422,68.27,,primary_link,1
1218,12380,7.21,,primary_link,0
1218,11331,114.11,IBP Road,primary,1
1219,8436,17.74,,secondary_link,0
1219,152,164.19,IBP Road,secondary,1
1220,4972,42.21,San Mateo Road,primary,1
1220,12075,162.37,San Gabriel Street,residential,0
1221,9891,16.08,Filinvest Road,residential,0
1221,11330,17.35,Filinvest Road,residential,0
1221,7759,205.97,IBP Road,primary,1
1222,8788,24.94,Filinvest Road,residential,0
1222,11580,35.95,Filinvest Road,residential,0
1222,6845,129.36,Sampaguita Street,residential,0
1223,9900,47.62,Filinvest Road,residential,0
1223,6815,52.25,Ilang-ilang Street,residential,0
1223,6817,59.7,Luzon Street,residential,1
1223,11679,71.24,Filinvest Road,residential,0
1224,9583,23.09,Rowena Street,residential,0
1224,8782,55.58,Filinvest Road,residential,0
1224,6857,108.22,Filinvest Road,residential,0
1225,12062,7.91,Diamond Street,residential,1
1226,3534,11.93,Topside Valley Street,residential,0
1226,13073,27.56,,primary_link,1
1226,12463,50.65,Katipunan Avenue,primary,1
1227,521,133.02,Padre Burgos Street,tertiary,0
1227,523,246.52,Padre Burgos Street,tertiary,0
1227,7242,65.97,Pud Site,residential,0
1228,1229,94.08,Pud Site,residential,0
1228,9487,61.66,Road 4,residential,0
1228,7242,41.63,Pud Site,residential,0
1229,7241,99.79,Pud Site,residential,0
1229,1228,94.08,Pud Site,residential,0
1229,9488,46.41,,residential,0
1230,8378,170.55,Aurora Boulevard,primary,1
1230,7557,12.83,F. Castillo Street,tertiary,0
1230,537,157.05,F. Castillo Street,tertiary,0
1231,1237,117.8,Camerino Street,residential,0
1231,537,79.45,F. Castillo Street,tertiary,0
1231,1232,27.46,F. Castillo Street,tertiary,0
1232,1233,240.31,Antonio Luna Street,residential,0
1232,1234,63.22,F. Castillo Street,residential,0
1232,7545,65.85,Antonio Luna Street,tertiary,0
1232,1231,27.46,F. Castillo Street,tertiary,0
1233,7247,60.23,E. Evangelista,residential,0
1233,3081,18.19,E. Evangelista,residential,0
1233,1232,240.31,Antonio Luna Street,residential,0
1234,1235,57.84,F. Castillo Street,residential,0
1234,1232,63.22,F. Castillo Street,residential,0
1234,7247,200.03,J. Bugallon,residential,0
1234,7537,85.75,J. Bugallon,residential,0
1235,7554,10.19,Miguel Malvar,residential,0
1235,1234,57.84,F. Castillo Street,residential,0
1235,7550,122.16,Miguel Malvar,residential,0
1236,7550,34.37,Miguel Malvar,residential,0
1236,1295,106.74,E. Evangelista,residential,0
1236,7247,61.05,E. Evangelista,residential,0
1237,7546,53.5,Camerino Street,residential,0
1237,1231,117.8,Camerino Street,residential,0
1237,11954,1.37,Jose Maria Hugo Street,residential,0
1238,535,60.34,P. Ocampo Street,residential,0
1238,1239,65.36,P. Ocampo Street,residential,1
1238,7548,46.18,Jose Maria Hugo Street,residential,0
1239,7547,60.05,Camerino Extension,residential,1
1239,565,57.27,P. Ocampo Street,residential,0
1240,8079,87.81,F. Salalilla Street,residential,0
1240,1317,38.96,Kalantiaw Street,tertiary,0
1240,2476,64.09,Kalantiaw Street,tertiary,0
1241,1313,97.05,20th Avenue,secondary,0
1241,10130,206.64,20th Avenue,secondary,0
1241,541,95.76,Kalantiaw Street,tertiary,0
1242,548,91.83,Kalantiaw Street,tertiary,0
1242,7502,60.86,Kalantiaw Street,tertiary,0
1242,7162,105.7,J. Perez,residential,1
1243,7164,42.75,V. Luciano,residential,0
1243,11865,71.22,V. Luciano,residential,0
1244,8074,120.86,Kalantiaw Street,tertiary,0
1244,8076,93.37,Kalantiaw Street,tertiary,0
1244,7164,42.84,V. Luciano,residential,0
1245,9052,2.08,Rajah Matanda Street,tertiary,0
1245,547,38.28,Rajah Matanda Street,tertiary,0
1245,542,446.04,Alimudin Street,residential,0
1246,1282,57.93,A. De Legaspi Street,residential,0
1246,546,215.24,J. Ocampo Street,residential,0
1246,1247,86.34,J. Ocampo Street,residential,0
1247,2004,62.59,De Los Reyes Street,residential,0
1247,1283,28.92,De Los Reyes Street,residential,0
1247,1246,86.34,J. Ocampo Street,residential,0
1248,7169,68.64,J. Ocampo Street,residential,0
1249,1300,32.2,18th Avenue,tertiary,0
1249,1304,69.83,18th Avenue,tertiary,0
1249,10226,357.04,19th Avenue,residential,0
1250,1321,104.2,15th Avenue,secondary,1
1250,2911,66.12,Justice Lourdes Paredes San Diego Avenue,tertiary,0
1250,1297,89.3,Justice Lourdes Paredes San Diego Avenue,tertiary,0
1251,1297,111.86,Justice Lourdes Paredes San Diego Avenue,tertiary,0
1251,13044,405.46,13th Avenue,residential,1
1251,1254,96.27,Justice Lourdes Paredes San Diego Avenue,tertiary,0
1252,1255,96.96,Liberty Avenue,residential,1
1252,1251,209.81,13th Avenue,residential,1
1253,13045,8.12,12th Avenue,residential,0
1253,11181,62.7,Pedro Tuazon Boulevard,secondary,1
1254,1271,55.85,Justice Lourdes Paredes San Diego Avenue,tertiary,0
1254,1255,207.68,12th Avenue,residential,0
1254,7833,223.49,12th Avenue,residential,1
1254,1251,96.27,Justice Lourdes Paredes San Diego Avenue,tertiary,0
1255,1272,52.94,Liberty Avenue,residential,1
1255,1254,207.68,12th Avenue,residential,0
1255,10135,223.73,12th Avenue,residential,0
1256,1271,52.71,Justice Lourdes Paredes San Diego Avenue,tertiary,0
1256,1258,73.91,Justice Lourdes Paredes San Diego Avenue,tertiary,0
1256,13047,358.59,10th Avenue,residential,0
1256,1257,209.11,10th Avenue,residential,0
1257,1259,73.8,Liberty Avenue,residential,1
1257,1256,209.11,10th Avenue,residential,0
1257,10138,206.25,10th Avenue,residential,0
1258,1256,73.91,Justice Lourdes Paredes San Diego Avenue,tertiary,0
1258,482,344.55,9th Avenue,tertiary,1
1258,1260,68.53,Justice Lourdes Paredes San Diego Avenue,tertiary,0
1259,13495,105.45,9th Avenue,tertiary,1
1259,12314,69.74,Liberty Avenue,residential,1
1260,1262,71.04,Justice Lourdes Paredes San Diego Avenue,tertiary,0
1260,12314,209.35,8th Avenue,tertiary,1
1260,1258,68.53,Justice Lourdes Paredes San Diego Avenue,tertiary,0
1261,12130,61.56,Pedro Tuazon Boulevard,secondary,0
1261,9685,132.63,Pedro Tuazon Boulevard,secondary,0
1262,1260,71.04,Justice Lourdes Paredes San Diego Avenue,tertiary,0
1262,1261,316.34,7th Avenue,residential,1
1262,1264,68.85,Justice Lourdes Paredes San Diego Avenue,tertiary,0
1262,1263,208.68,7th Avenue,residential,0
1263,1269,69.71,Liberty Avenue,residential,1
1263,1262,208.68,7th Avenue,residential,0
1263,10136,167.08,7th Avenue,residential,0
1264,1269,208.85,6th Avenue,residential,0
1264,1262,68.85,Justice Lourdes Paredes San Diego Avenue,tertiary,0
1264,1265,71.17,Justice Lourdes Paredes San Diego Avenue,tertiary,0
1265,1264,71.17,Justice Lourdes Paredes San Diego Avenue,tertiary,0
1265,7455,86.59,Justice Lourdes Paredes San Diego Avenue,tertiary,0
1266,1268,80.56,Liberty Avenue,residential,1
1266,1265,209.05,5th Avenue,residential,1
1267,2898,66.54,Justice Lourdes Paredes San Diego Avenue,tertiary,0
1267,2985,172.21,18th Avenue,tertiary,0
1267,1320,101.97,18th Avenue,tertiary,0
1268,7342,132.2,EDSA,secondary,1
1269,1266,70.84,Liberty Avenue,residential,1
1269,1264,208.85,6th Avenue,residential,0
1269,10228,155.21,6th Avenue,residential,0
1270,1301,10.37,15th Avenue,secondary,1
1270,1296,86.82,"['Liberty Drive', 'Liberty Avenue']",residential,1
1271,1272,208.23,11th Avenue,residential,0
1271,1254,55.85,Justice Lourdes Paredes San Diego Avenue,tertiary,0
1271,1256,52.71,Justice Lourdes Paredes San Diego Avenue,tertiary,0
1272,1271,208.23,11th Avenue,residential,0
1272,1257,53.88,Liberty Avenue,residential,1
1272,10139,215.34,11th Avenue,residential,0
1273,1274,63.34,Callejon 1,residential,1
1273,1278,67.77,Martin Pauza Street,residential,0
1273,4379,157.29,Martin Pauza Street,residential,0
1274,7551,47.39,Jose P. Rizal Street,tertiary,0
1274,533,158.79,Jose P. Rizal Street,tertiary,0
1274,565,77.66,P. Ocampo Street,residential,0
1275,529,18.67,Antonio Luna Street,residential,0
1275,530,22.39,Antonio Luna Street,residential,0
1275,1276,62.99,Juan Ponce Street,residential,0
1276,1277,57.89,Juan Ponce Street,residential,0
1276,1275,62.99,Juan Ponce Street,residential,0
1277,1279,96.1,Aguado Street,residential,0
1277,1276,57.89,Juan Ponce Street,residential,0
1277,1278,64.94,Juan Ponce Street,residential,0
1278,9489,30.62,Juan Ponce Street,residential,0
1278,1273,67.77,Martin Pauza Street,residential,0
1278,1277,64.94,Juan Ponce Street,residential,0
1279,1277,96.1,Aguado Street,residential,0
1279,7551,42.32,Jose P. Rizal Street,tertiary,0
1279,12012,72.24,Callejon Ⅲ,residential,0
1279,563,51.38,Jose P. Rizal Street,tertiary,0
1280,528,54.86,Jose P. Rizal Street,tertiary,0
1280,563,7.31,Jose P. Rizal Street,tertiary,0
1280,1276,95.31,Cabuco Street,residential,1
1281,7384,41.25,Pedro Tuazon Boulevard,secondary,0
1281,529,134.8,Interior A. Luna Street,residential,1
1281,272,108.04,Pedro Tuazon Boulevard,secondary,0
1282,1246,57.93,A. De Legaspi Street,residential,0
1282,2005,48.19,Alvarez Street,residential,0
1282,4365,104.51,A. De Legaspi Street,residential,0
1283,2770,68.12,D. Tirona Street,residential,0
1283,1247,28.92,De Los Reyes Street,residential,0
1283,1284,59.83,De Los Reyes Street,residential,0
1284,132,112.11,Jose P. Rizal Street,tertiary,0
1284,8971,102.05,Jose P. Rizal Street,tertiary,0
1284,1283,59.83,De Los Reyes Street,residential,0
1285,272,61.71,Pedro Tuazon Boulevard,secondary,0
1285,1286,239.46,Pasaje de la Paz Street,residential,0
1285,2480,51.4,Pedro Tuazon Boulevard,secondary,0
1286,132,33.17,Jose P. Rizal Street,tertiary,0
1286,1285,239.46,Pasaje de la Paz Street,residential,0
1286,13035,85.3,Jose P. Rizal Street,tertiary,0
1287,2770,137.69,D. Tirona Street,residential,0
1287,2480,60.11,D. Tirona Street,residential,0
1287,1288,135.15,Reverend Garcia Street,residential,1
1288,8073,54.69,,residential,0
1288,2770,108.5,Reverend Garcia Street,residential,1
1289,556,54.56,Lakandula Street,tertiary,0
1289,1290,45.32,Lakandula Street,tertiary,0
1289,555,175.38,P. Ladia,residential,1
1290,1289,45.32,Lakandula Street,tertiary,0
1290,558,10.92,Lakandula Street,tertiary,0
1290,7539,141.15,J. Bugallon,residential,0
1291,7542,10.08,Antonio Luna Street,tertiary,0
1291,7545,65.46,Antonio Luna Street,tertiary,0
1291,1292,111.42,Antonio Luna Extension,residential,0
1292,560,9.95,Lakandula Street,residential,0
1292,1291,111.42,Antonio Luna Extension,residential,0
1292,552,53.15,Lakandula Street,residential,0
1293,273,61.57,Poblete Street,residential,1
1294,8079,105.28,F. Salalilla Street,residential,0
1294,8079,194.13,M. Gregorio Street,residential,0
1294,274,63.11,Lakandula Street,residential,0
1294,4331,147.91,F. Salalilla Street,residential,1
1295,1236,106.74,E. Evangelista,residential,0
1295,2475,369.3,21st Avenue,residential,0
1295,7512,294.92,"['Magat Salamat', 'E. Evangelista']",residential,0
1296,1252,105.33,Liberty Avenue,residential,1
1296,10133,250.77,14th Avenue,residential,1
1297,1250,89.3,Justice Lourdes Paredes San Diego Avenue,tertiary,0
1297,1251,111.86,Justice Lourdes Paredes San Diego Avenue,tertiary,0
1297,1296,209.17,14th Avenue,residential,1
1298,13043,83.71,Pedro Tuazon Boulevard,secondary,0
1298,99,94.39,Pedro Tuazon Boulevard,secondary,0
1298,1297,421.71,14th Avenue,residential,1
1299,1308,45.67,1st Camarilla Street,residential,0
1299,1300,49.19,1st Camarilla Street,residential,0
1299,1303,101.68,6th Camarilla Street,residential,0
1300,1299,49.19,1st Camarilla Street,residential,0
1300,1249,32.2,18th Avenue,tertiary,0
1300,1320,114.8,18th Avenue,tertiary,0
1301,1310,51.72,1st Camarilla Street,residential,0
1301,1302,102.33,15th Avenue,secondary,1
1302,1311,52.9,2nd Camarilla Street,residential,0
1302,1307,96.91,15th Avenue,secondary,1
1303,1306,99.3,6th Camarilla Street,residential,0
1303,1304,50.73,2nd Camarilla Street,residential,0
1303,2771,45.41,2nd Camarilla Street,residential,0
1303,1299,101.68,6th Camarilla Street,residential,0
1304,1303,50.73,2nd Camarilla Street,residential,0
1304,1249,69.83,18th Avenue,tertiary,0
1304,1305,98.89,18th Avenue,tertiary,0
1305,1306,50.78,3rd Camarilla Street,residential,0
1305,1304,98.89,18th Avenue,tertiary,0
1305,10225,81.43,18th Avenue,tertiary,0
1306,1303,99.3,6th Camarilla Street,residential,0
1306,10131,74.21,6th Camarilla Street,residential,0
1306,1309,46.9,3rd Camarilla Street,residential,0
1306,1305,50.78,3rd Camarilla Street,residential,0
1307,7108,53.64,3rd Camarilla Street,residential,0
1307,9705,53.43,15th Avenue,secondary,1
1308,1310,46.55,1st Camarilla Street,residential,0
1308,1299,45.67,1st Camarilla Street,residential,0
1308,2771,101.12,5th Camarilla Street,residential,0
1309,7108,43.63,3rd Camarilla Street,residential,0
1309,1306,46.9,3rd Camarilla Street,residential,0
1309,10132,68.01,5th Camarilla Street,residential,0
1309,2771,98.98,5th Camarilla Street,residential,0
1310,1308,46.55,1st Camarilla Street,residential,0
1310,1311,102.39,4th Camarilla Street,residential,0
1310,1301,51.72,1st Camarilla Street,residential,0
1311,2771,45.24,2nd Camarilla Street,residential,0
1311,1302,52.9,2nd Camarilla Street,residential,0
1311,7108,97.29,4th Camarilla Street,residential,0
1311,1310,102.39,4th Camarilla Street,residential,0
1312,1314,67.18,Diego Silang Street,residential,0
1312,1313,375.63,19th Avenue,residential,0
1312,3169,136.51,19th Avenue,residential,0
1313,1241,97.05,20th Avenue,secondary,0
1313,1312,375.63,19th Avenue,residential,0
1313,3020,118.19,20th Avenue,secondary,0
1314,1312,67.18,Diego Silang Street,residential,0
1314,540,96.72,Diego Silang Street,residential,0
1314,3020,195.69,20th Avenue,secondary,0
1314,7359,59.37,20th Avenue,secondary,0
1315,12149,183.22,Conchu Street,residential,1
1315,12724,65.84,Conchu Street,residential,0
1316,11026,60.82,Jose P. Rizal Street,residential,0
1316,540,61.93,Jose P. Rizal Street,residential,0
1316,7511,111.08,Inocencio Street,residential,0
1317,7502,262.23,Kalantiaw Street,tertiary,0
1317,1240,38.96,Kalantiaw Street,tertiary,0
1317,2772,120.81,J. Zobel Street,residential,1
1318,7502,175.18,Tamblot Street,residential,1
1319,1318,77.21,Diego Silang Street,residential,1
1319,11701,37.5,Diego Silang Street,residential,0
1320,3017,68.1,East Road,residential,0
1320,1267,101.97,18th Avenue,tertiary,0
1320,1300,114.8,18th Avenue,tertiary,0
1321,2862,66.5,East Road,residential,0
1321,1270,105.58,15th Avenue,secondary,1
1322,1325,39.68,Highland Drive,residential,0
1322,7107,495.66,Highland Drive,residential,0
1322,8084,94.97,Rajah Matanda Street,residential,0
1323,7364,305.68,Hillside Drive,residential,0
1323,1326,178.15,Hillside Drive,residential,0
1323,4358,611.32,Cliff Drive,residential,0
1324,7252,28.45,Crest Line Street,residential,0
1324,1325,83.41,Crest Line Street,residential,0
1324,7364,190.64,Hillside Drive,residential,0
1325,1322,39.68,Highland Drive,residential,0
1325,1324,83.41,Crest Line Street,residential,0
1325,12839,175.95,Highland Drive,residential,0
1326,1323,178.15,Hillside Drive,residential,0
1326,7253,181.07,Hillside Loop,residential,0
1326,12771,103.37,Hillside Loop,residential,0
1327,7253,61.19,Hillside Loop,residential,0
1327,1329,47.79,Starline Road,residential,0
1328,7251,106.88,Starline Road,residential,0
1328,7363,106.72,Promenade Line,residential,0
1328,7504,65.38,Starline Road,residential,0
1329,1327,47.79,Starline Road,residential,0
1329,7504,59.41,Starline Road,residential,0
1329,1330,109.79,Twin Peaks Drive,residential,0
1330,8778,27.16,Twin Peaks Drive,residential,0
1330,1329,109.79,Twin Peaks Drive,residential,0
1330,1327,233.59,Moonlight Loop,residential,1
1331,7440,38.17,Colonel Bonny Serrano Avenue,secondary,1
1331,5242,36.29,EDSA,secondary,1
1332,1653,44.83,N. S. Amoranto Sr. Avenue,tertiary,0
1332,8167,136.68,Blumentritt Street,secondary,1
1333,1338,47.45,Simoun Street,residential,0
1333,1109,164.05,Blumentritt Street,secondary,0
1333,1334,160.92,Blumentritt Street,secondary,0
1334,1342,72.22,Maria Clara Street,tertiary,0
1334,1333,160.92,Blumentritt Street,secondary,0
1334,1335,161.75,Blumentritt Street,secondary,0
1335,1343,46.61,Nicanor Roxas Street,secondary,1
1335,1336,161.98,Blumentritt Street,secondary,0
1335,1334,161.75,Blumentritt Street,secondary,0
1336,1335,161.98,Blumentritt Street,secondary,0
1337,1340,47.98,Don Manuel Agregado Avenue,residential,0
1337,1652,38.21,Don Manuel Agregado Avenue,residential,0
1337,8370,95.99,Calavite Street,residential,0
1337,1145,121.3,Calavite Street,residential,0
1338,2459,161.47,Calavite Street,residential,0
1338,1113,46.99,Simoun Street,residential,0
1338,1333,47.45,Simoun Street,residential,0
1339,1340,117.78,Halcon 1 Street,residential,0
1339,1351,53.89,N. S. Amoranto Sr. Avenue,tertiary,0
1339,1145,47.74,N. S. Amoranto Sr. Avenue,tertiary,0
1340,1341,178.14,Halcon 1 Street,residential,0
1340,1339,117.78,Halcon 1 Street,residential,0
1340,1381,53.91,Don Manuel Agregado Avenue,residential,0
1340,1337,47.98,Don Manuel Agregado Avenue,residential,0
1341,1113,161.83,Halcon 1 Street,residential,0
1341,1340,178.14,Halcon 1 Street,residential,0
1341,1355,48.36,Calamba Street,tertiary,0
1341,2459,50.63,Calamba Street,tertiary,0
1342,1113,159.1,Halcon 1 Street,residential,0
1342,1353,50.25,Maria Clara Street,tertiary,0
