source,target,length,name,highway,oneway
55,4884,92.78,Don Fabian Castillo Street,residential,0
55,4889,354.79,Commonwealth Avenue,primary,1
56,12926,10.7,Cuisia Avenue,residential,0
56,4533,101.35,Commonwealth Avenue,primary,1
57,10695,28.44,Payatas Road,primary,0
57,59,126.39,Payatas Road,primary,0
57,9163,86.66,Narra Street,residential,0
59,6649,66.24,Mahogany Street,residential,0
59,57,126.39,Payatas Road,primary,0
59,9281,179.71,Payatas Road,primary,0
60,4890,44.57,Commonwealth Avenue,primary,1
60,4891,284.87,"['5th Street', '1st Street']",residential,0
61,10527,39.12,President Quezon Extension,residential,1
61,10530,13.53,Payatas Road,primary,1
62,6640,56.1,Empire Road,residential,0
62,6618,242.43,Payatas Road,primary,0
62,12578,499.53,Payatas Road,primary,0
63,12806,13.49,Narra Street,residential,0
63,11166,236.43,Payatas Road,primary,0
63,12578,373.87,Payatas Road,primary,0
64,175,14.97,Mabuhay Rotonda,primary,1
65,174,13.97,Mabuhay Rotonda,primary,1
66,1568,17.27,Gregorio Araneta Avenue,primary,1
67,1985,192.69,Katipunan Avenue,tertiary,0
67,1941,317.82,Katipunan Avenue,tertiary,0
67,12489,8.46,Sarangaya Avenue,residential,0
68,3037,10.06,Boston Street,residential,0
68,2885,223.06,Boston Street,residential,0
68,11085,50.29,Aurora Boulevard,primary,1
69,4773,308.34,Green Meadows Avenue,tertiary,0
70,133,251.94,Xavierville Avenue,secondary,0
70,466,61.07,Esteban Abada Street,residential,1
70,124,131.12,Xavierville Avenue,secondary,0
70,9346,151.65,Esteban Abada Street,residential,0
71,11145,4.86,Katipunan Avenue,tertiary,0
71,12491,33.06,1st Street,residential,1
71,12841,313.6,Katipunan Avenue,tertiary,0
72,7532,137.72,Major S. Dizon Street,tertiary,0
72,751,430.71,Katipunan Avenue,primary,1
73,2015,8.4,Katipunan Avenue,tertiary,1
74,577,90.13,Doña Hemady Street,secondary,1
74,75,279.65,Aurora Boulevard,primary,1
75,1566,10.38,Gilmore Avenue,primary,1
75,91,279.86,Aurora Boulevard,primary,1
76,746,19.18,Katipunan Avenue,primary,1
76,12462,18.34,Marcos Highway,primary,1
77,7674,164.99,Marcos Highway,primary,1
78,705,53.37,Tindalo Street,tertiary,1
78,105,59.01,Tindalo Street,residential,0
78,714,196.17,Narra Street,tertiary,0
79,396,52.82,K-J Street,tertiary,0
79,264,49.66,K-J Street,tertiary,0
79,319,253.49,K-7th Street,residential,1
80,83,33.84,Anonas Street,secondary,0
80,508,253.01,K-7th Street,residential,1
80,316,47.87,Anonas Street,secondary,0
81,2563,61.6,Kalayaan Avenue,secondary,0
81,396,58.46,K-J Street,tertiary,0
81,2454,252.89,Kamias Road,secondary,0
81,497,254.52,Kamias Road,secondary,0
82,108,187.4,Molave Street,tertiary,1
82,84,94.83,Anonas Street,secondary,0
82,12466,67.16,Anonas Street,secondary,0
83,80,33.84,Anonas Street,secondary,0
83,501,69.09,Anonas Street,secondary,0
83,7613,182.0,K-10th Street,residential,0
84,2561,74.8,Anonas Street,secondary,0
84,82,94.83,Anonas Street,secondary,0
85,512,52.11,Anonas Street,secondary,0
85,518,48.17,Pajo Street,residential,1
85,4386,314.66,Pajo Street,residential,0
85,2561,49.54,Anonas Street,secondary,0
86,749,9.37,Anonas Street,secondary,1
86,36,133.53,Aurora Boulevard,primary,1
87,11071,6.98,Anonas Street Extension,secondary,0
87,11072,71.78,V. Luna Road,secondary,1
87,2909,67.83,Anonas Street Extension,tertiary,0
88,11972,254.77,Kamias Street Extension,tertiary,0
88,7580,34.77,Anonas Street Extension,secondary,0
88,2454,253.55,Kamias Road,secondary,0
88,316,63.6,Anonas Street,secondary,0
89,516,318.14,Lanzones Street,residential,1
89,721,191.55,Lanzones Street,residential,1
89,517,56.75,Anonas Street,secondary,0
89,514,50.63,Anonas Street,secondary,0
90,98,293.85,Chico Street,secondary,0
90,501,55.28,Anonas Street,secondary,0
90,4470,247.16,Chico Street,residential,0
90,2534,58.29,Anonas Street,secondary,0
91,1567,9.22,Broadway Avenue,tertiary,0
91,300,78.78,Broadway Avenue,tertiary,0
91,2417,113.4,Aurora Boulevard,primary,1
92,315,92.14,Broadway Avenue,tertiary,0
92,11069,47.61,Broadway Avenue,tertiary,0
92,22,254.74,14th Street,residential,0
92,566,263.55,14th Street,residential,0
93,11069,24.94,Broadway Avenue,tertiary,0
93,11070,33.01,E. Rodriguez Sr. Avenue,secondary,0
93,1092,181.77,E. Rodriguez Sr. Avenue,secondary,0
94,1093,291.43,N. Domingo Street,primary,1
94,97,288.36,N. Domingo Street,secondary,0
94,1097,61.19,Senator Jose O. Vera Street,primary,0
95,5137,238.39,Sampaguita Oval Street,tertiary,0
95,10840,313.88,Sampaguita Oval Street,secondary,0
95,9454,61.98,Maligaya Street,secondary,0
96,265,297.67,Quirino Highway,primary,1
96,12512,288.18,Maligaya Street,secondary,0
97,1096,201.81,Valencia Street,residential,0
97,1094,97.22,Broadway Avenue,tertiary,0
97,94,288.36,N. Domingo Street,secondary,0
98,90,293.85,Chico Street,secondary,0
98,504,52.6,Langka Street,tertiary,0
98,251,266.73,Chico Street,secondary,0
98,718,59.49,Langka Street,tertiary,0
99,1298,94.39,Pedro Tuazon Boulevard,secondary,0
99,2946,251.67,15th Avenue,secondary,1
99,3137,80.18,Pedro Tuazon Boulevard,secondary,0
100,707,51.36,Narra Street,tertiary,0
100,116,56.31,Narra Street,tertiary,0
101,12813,13.45,Magsaysay Avenue,unclassified,0
101,8407,31.24,Magsaysay Avenue,unclassified,0
101,8067,282.69,Katipunan Avenue,primary,1
102,322,60.76,K-H Street,tertiary,0
102,497,254.26,Kamias Road,secondary,0
102,1528,121.76,Maliksi Street,tertiary,0
102,498,276.55,Kamias Road,secondary,0
103,184,209.73,F. Agoncillo Street,unclassified,1
103,177,105.3,Magsaysay Avenue,unclassified,0
103,9465,121.68,Magsaysay Avenue,unclassified,0
103,197,155.88,F. Agoncillo Street,unclassified,0
104,26,535.73,Osmeña Avenue,tertiary,1
104,28,250.98,A. Roces Sr. Avenue,unclassified,0
104,186,158.19,A. Roces Sr. Avenue,unclassified,0
105,78,59.01,Tindalo Street,residential,0
105,686,67.98,Tindalo Street,residential,0
105,688,301.95,Guijo Street,residential,1
106,2560,28.32,Narra Street,tertiary,0
106,116,69.91,Narra Street,tertiary,0
106,690,72.63,Banuyo Street,residential,0
107,2844,81.68,Matino Street,residential,0
107,7747,11.1,Matino Street,tertiary,0
107,159,353.8,Kalayaan Avenue,secondary,1
108,2530,314.96,Molave Street,tertiary,0
108,78,73.97,Narra Street,tertiary,1
109,2845,85.76,Maparaan Street,residential,0
109,7746,8.71,Maparaan Street,residential,0
109,107,215.24,Kalayaan Avenue,secondary,1
110,178,138.87,Dagohoy Street,residential,0
110,214,101.01,Gomburza Street,residential,0
110,114,39.37,F. Maria Guerrero Street,residential,0
111,687,64.63,Molave Street,tertiary,0
111,691,88.7,Molave Street,tertiary,0
111,13023,236.29,Narra Street,tertiary,0
112,752,207.63,Laurel Avenue,unclassified,0
112,7398,28.52,A. Roces Sr. Avenue,residential,0
112,202,17.92,A. Roces Sr. Avenue,unclassified,0
113,356,201.74,15th Avenue,tertiary,1
113,7523,42.9,15th Avenue,residential,0
113,9959,82.12,Ermin Garcia Street,tertiary,0
114,9465,210.4,F. Maria Guerrero Street,unclassified,0
114,110,39.37,F. Maria Guerrero Street,residential,0
