id_hash,source_lat,source_lon,target_lat,target_lon,source,target,road_name
ibevbn,14.635628,121.0585146,14.6362142,121.0583403,87,2909,Anonas Street Extension
bjuucq,14.6345204,121.0588455,14.633876,121.0565849,88,2454,Kamias Road
xr1egn,14.6345204,121.0588455,14.6339702,121.0590069,88,316,Anonas Street
k502y0,14.6312094,121.0609659,14.6316603,121.0607189,89,517,Anonas Street
k502y0,14.6312094,121.0609659,14.6308053,121.0611828,89,514,Anonas Street
6efvw5,14.6324816,121.0600654,14.634357,121.0619897,90,98,Chico Street
xr1egn,14.6324816,121.0600654,14.6328274,121.0596963,90,501,Anonas Street
k502y0,14.6324816,121.0600654,14.6320992,121.060436,90,2534,Anonas Street
rm63mh,14.6126741,121.0323848,14.6132818,121.0320084,91,300,Broadway Avenue
100ivg,14.6126741,121.0323848,14.6123418,121.0313884,91,2417,Aurora Boulevard
jezyyx,14.6218801,121.0267598,14.6211647,121.0271919,92,315,Broadway Avenue
jezyyx,14.6218801,121.0267598,14.6222497,121.0265365,92,11067,Broadway Avenue
jezyyx,14.6224433,121.0264195,14.6222497,121.0265365,93,11067,Broadway Avenue
wwi3ir,14.6224433,121.0264195,14.6223567,121.026126,93,11068,E. Rodriguez Sr. Avenue
xeln5w,14.6224433,121.0264195,14.6229476,121.0280265,93,1092,E. Rodriguez Sr. Avenue
88txje,14.6117781,121.0359115,14.6127592,121.0383649,94,1093,N. Domingo Street
q3oo8f,14.6117781,121.0359115,14.6110991,121.0333408,94,97,N. Domingo Street
hb9ma8,14.6117781,121.0359115,14.6112815,121.0361566,94,1097,Senator Jose O. Vera Street
jaklst,14.7352905,121.0590524,14.7347812,121.0563575,96,265,Quirino Highway
xh8blf,14.6110991,121.0333408,14.6099684,121.0347058,97,1096,Valencia Street
z4ewvb,14.6110991,121.0333408,14.6118389,121.0328593,97,1094,Broadway Avenue
q3oo8f,14.6110991,121.0333408,14.6117781,121.0359115,97,94,N. Domingo Street
6efvw5,14.634357,121.0619897,14.6324816,121.0600654,98,90,Chico Street
6efvw5,14.634357,121.0619897,14.6357375,121.0639437,98,251,Chico Street
x9mcmm,14.6200931,121.0594963,14.6198042,121.0586468,99,1298,Pedro Tuazon Boulevard
3tbg0d,14.6200931,121.0594963,14.6180513,121.0604844,99,2946,15th Avenue
bylr9a,14.6200931,121.0594963,14.6203079,121.0601767,99,3137,Pedro Tuazon Boulevard
owfw9m,14.6575654,121.0742237,14.6575633,121.0740987,101,12811,"Residential Road (101, 12811)"
fx1u,14.6575654,121.0742237,14.6575699,121.0745141,101,8407,Magsaysay Avenue
u0el57,14.6575654,121.0742237,14.6550232,121.074236,101,8067,Katipunan Avenue
hg7nc4,14.6318953,121.0498081,14.6325515,121.0520719,102,497,Kamias Road
hg7nc4,14.6318953,121.0498081,14.6311855,121.0473446,102,498,Kamias Road
hd112s,14.6561265,121.0685919,14.6549972,121.064311,104,26,Osmeña Avenue
ev2ghk,14.6393331,121.054832,14.6361718,121.0545444,107,159,Kalayaan Avenue
b5hwmz,14.6412587,121.0546535,14.6393331,121.054832,109,107,Kalayaan Avenue
1pwugr,14.6284967,121.0554626,14.6268657,121.056246,113,356,15th Avenue
3k9nls,14.6284967,121.0554626,14.6284231,121.0547493,113,9957,Ermin Garcia Street
sem8f5,14.6411853,121.074538,14.640539,121.0745138,117,9349,Katipunan Avenue
pycz4o,14.6449853,121.0744723,14.6424481,121.0745932,118,9577,Katipunan Avenue
cyjjhk,14.6317615,121.0740667,14.6316004,121.0740613,121,168,Katipunan Avenue
hzmvg0,14.6317615,121.0740667,14.631631,121.0738146,121,12268,Aurora Boulevard
pycz4o,14.6463319,121.0742967,14.6449853,121.0744723,123,118,J. Escaler Street
jtmlfi,14.6338012,121.0741428,14.6341111,121.0729669,124,70,Xavierville Avenue
cyjjhk,14.6338012,121.0741428,14.6328232,121.0740977,124,1774,Katipunan Avenue
