id_hash,source_lat,source_lon,target_lat,target_lon,road_name,highway_type,source,target
xr1egn,14.6335595,121.0591403,14.6339702,121.0590069,Anonas Street,secondary,80,316
tjb6kw,14.6332046,121.0543392,14.633739,121.0541882,Kalayaan Avenue,secondary,81,2563
bjuucq,14.6332046,121.0543392,14.633876,121.0565849,Kamias Road,secondary,81,2454
hg7nc4,14.6332046,121.0543392,14.6325515,121.0520719,Kamias Road,secondary,81,497
k502y0,14.6285807,121.06302,14.6292214,121.0624496,Anonas Street,secondary,82,84
k502y0,14.6285807,121.06302,14.628006,121.0632064,,,82,12464
xr1egn,14.6332745,121.0592506,14.6335595,121.0591403,Anonas Street,secondary,83,80
xr1egn,14.6332745,121.0592506,14.6328274,121.0596963,Anonas Street,secondary,83,501
k502y0,14.6292214,121.0624496,14.629608,121.0618817,Anonas Street,secondary,84,2561
k502y0,14.6292214,121.0624496,14.6285807,121.06302,Anonas Street,secondary,84,82
k502y0,14.6299795,121.0616301,14.6303914,121.061399,Anonas Street,secondary,85,512
k502y0,14.6299795,121.0616301,14.629608,121.0618817,Anonas Street,secondary,85,2561
bvdemp,14.6277985,121.0632222,14.6273771,121.0620623,Aurora Boulevard,primary,86,36
ibevbn,14.635628,121.0585146,14.6362142,121.0583403,Anonas Street Extension,tertiary,87,2909
bjuucq,14.6345204,121.0588455,14.633876,121.0565849,Kamias Road,secondary,88,2454
xr1egn,14.6345204,121.0588455,14.6339702,121.0590069,Anonas Street,secondary,88,316
k502y0,14.6312094,121.0609659,14.6316603,121.0607189,Anonas Street,secondary,89,517
k502y0,14.6312094,121.0609659,14.6308053,121.0611828,Anonas Street,secondary,89,514
6efvw5,14.6324816,121.0600654,14.634357,121.0619897,Chico Street,secondary,90,98
xr1egn,14.6324816,121.0600654,14.6328274,121.0596963,Anonas Street,secondary,90,501
k502y0,14.6324816,121.0600654,14.6320992,121.060436,Anonas Street,secondary,90,2534
rm63mh,14.6126741,121.0323848,14.6132818,121.0320084,Broadway Avenue,tertiary,91,300
100ivg,14.6126741,121.0323848,14.6123418,121.0313884,Aurora Boulevard,primary,91,2417
jezyyx,14.6218801,121.0267598,14.6211647,121.0271919,Broadway Avenue,tertiary,92,315
jezyyx,14.6218801,121.0267598,14.6222497,121.0265365,,,92,11067
