source_lat,source_lon,target_lat,target_lon,source,target,road_name,speed_kph,freeFlow_kph,jamFactor,isClosed,segmentLength,oneway
14.640961,121.036776,14.641878,121.036180,20,8914,Sergeant Esguerra Avenue,50.000000,50,1.000000,False,120.510000,0
14.616229,121.033222,14.615284,121.033808,21,301,Gilmore Avenue,50.000000,50,1.000000,False,122.450000,1
14.616229,121.033222,14.617521,121.035444,21,312,5th Street,50.000000,50,1.000000,False,278.930000,0
14.616229,121.033222,14.615178,121.031399,21,13336,5th Street,42.650861,50,3.453349,False,228.290000,0
14.623135,121.028626,14.621880,121.026760,22,92,14th Street,50.000000,50,1.000000,False,254.740000,0
14.623135,121.028626,14.622948,121.028026,22,1092,E. Rodriguez Sr. Avenue,50.000000,50,1.000000,False,67.780000,0
14.623135,121.028626,14.623252,121.028975,22,15,E. Rodriguez Sr. Avenue,28.616055,50,4.038762,False,39.740000,0
14.656762,121.000032,14.657198,120.999430,23,8374,,50.000000,50,1.000000,False,173.240000,1
14.656762,121.000032,14.655997,120.999626,23,855,Andres Bonifacio Avenue,25.282543,50,4.474796,False,96.440000,1
14.658330,121.000102,14.656762,121.000032,24,23,Andres Bonifacio Avenue,5.102348,50,8.563133,False,174.830000,1
14.653149,121.051163,14.654279,121.048000,25,9819,Elliptical Road,50.000000,50,1.000000,False,385.460000,1
14.654997,121.064311,14.654957,121.062334,26,29,University Avenue,50.000000,50,1.000000,False,212.750000,1
14.654997,121.064311,14.654820,121.064315,26,163,Osmeña Avenue,50.000000,50,1.000000,False,20.170000,1
14.656161,121.072755,14.656151,121.071607,27,197,Osmeña Avenue,50.000000,50,1.000000,False,123.570000,1
14.656161,121.072755,14.657556,121.072738,27,9465,F. Maria Guerrero Street,50.000000,50,1.000000,False,155.150000,1
14.653870,121.068623,14.653914,121.071660,28,9607,M. Roxas Avenue,50.000000,50,1.000000,False,326.750000,1
14.653870,121.068623,14.652492,121.068644,28,183,A. Roces Sr. Avenue,20.993132,50,4.392479,False,153.220000,0
14.653870,121.068623,14.656126,121.068592,28,104,A. Roces Sr. Avenue,50.000000,50,1.000000,False,250.980000,0
14.654957,121.062334,14.654798,121.062333,29,164,Emilio Jacinto Street,50.000000,50,1.000000,False,17.600000,0
14.654957,121.062334,14.656944,121.062353,29,5245,Emilio Jacinto Street,50.000000,50,1.000000,False,221.010000,0
14.654957,121.062334,14.654944,121.061565,29,9504,University Avenue,50.000000,50,1.000000,False,82.700000,1
14.636436,121.073078,14.638901,121.073237,30,13605,Esteban Abada Street,1.000000,50,10.000000,True,274.640000,0
14.636436,121.073078,14.636066,121.074337,30,169,Rosa Alvero Street,50.000000,50,1.000000,False,141.520000,0
14.636436,121.073078,14.635472,121.073053,30,9346,Esteban Abada Street,50.000000,50,1.000000,False,107.150000,0
14.636436,121.073078,14.636724,121.072097,30,11397,Rosa Alvero Street,50.000000,50,1.000000,False,110.420000,0
14.616294,121.074230,14.616235,121.074081,31,9378,Colonel Bonny Serrano Avenue,50.000000,50,1.000000,False,17.470000,1
14.616294,121.074230,14.616522,121.074257,31,2002,Twin Peaks Drive,50.000000,50,1.000000,False,25.890000,1
14.614653,121.070591,14.614563,121.070605,32,2450,Katipunan Avenue,50.000000,50,1.000000,False,10.150000,1
14.614653,121.070591,14.614576,121.070160,32,10895,Colonel Bonny Serrano Avenue,50.000000,50,1.000000,False,47.320000,1
14.615118,121.074654,14.614452,121.074798,33,10241,E. Rodriguez Jr. Avenue,50.000000,50,1.000000,False,75.620000,1
14.632320,121.077652,14.632476,121.075484,34,495,Marcos Highway,50.000000,50,1.000000,False,251.640000,1
14.609364,121.076658,14.609481,121.076782,35,754,Richmond Road,50.000000,50,1.000000,False,18.640000,1
14.609364,121.076658,14.608569,121.077384,35,8035,E. Rodriguez Jr. Avenue,23.440467,50,6.496400,False,117.990000,1
14.627377,121.062062,14.627281,121.062119,36,12126,Ermin Garcia Street,50.000000,50,1.000000,False,12.270000,0
14.627377,121.062062,14.628908,121.060384,36,851,Ermin Garcia Street,50.000000,50,1.000000,False,277.540000,1
14.627377,121.062062,14.627008,121.061320,36,395,Aurora Boulevard,50.000000,50,1.000000,False,89.780000,1
14.649405,121.047728,14.649068,121.048151,37,10030,Elliptical Road,30.340003,50,5.821150,False,58.970000,1
14.653590,121.074282,14.653590,121.074147,38,10858,Shuster Street,50.000000,50,1.000000,False,14.480000,0
14.653590,121.074282,14.652583,121.074300,38,13615,Katipunan Avenue,50.000000,50,1.000000,False,112.010000,1
14.654618,121.035092,14.654518,121.035069,39,2533,Mindanao Avenue,40.954206,50,3.612600,False,11.420000,1
14.654618,121.035092,14.655110,121.032873,39,12533,North Avenue,50.000000,50,1.000000,False,244.890000,1
